mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
18.0,8,307.0,130.0,3504,12.0,1970,usa
15.0,8,350.0,165.0,3693,11.5,1970,usa
18.0,8,318.0,150.0,3436,11.0,1970,usa
16.0,8,304.0,150.0,3433,12.0,1970,usa
17.0,8,302.0,140.0,3449,10.5,1970,usa
15.0,8,429.0,198.0,4341,10.0,1970,usa
14.0,8,454.0,220.0,4354,9.0,1970,usa
14.0,8,440.0,215.0,4312,8.5,1970,usa
14.0,8,455.0,225.0,4425,10.0,1970,usa
15.0,8,390.0,190.0,3850,8.5,1970,usa
15.0,8,383.0,170.0,3563,10.0,1970,usa
14.0,8,340.0,160.0,3609,8.0,1970,usa
15.0,8,400.0,150.0,3761,9.5,1970,usa
14.0,8,455.0,225.0,3086,10.0,1970,usa
24.0,4,113.0,95.0,2372,15.0,1970,japan
22.0,6,198.0,95.0,2833,15.5,1970,usa
18.0,6,199.0,97.0,2774,15.5,1970,usa
21.0,6,200.0,85.0,2587,16.0,1970,usa
27.0,4,97.0,88.0,2130,14.5,1970,japan
26.0,4,97.0,46.0,1835,20.5,1970,europe
25.0,4,110.0,87.0,2672,17.5,1970,europe
24.0,4,107.0,90.0,2430,14.5,1970,europe
25.0,4,104.0,95.0,2375,17.5,1970,europe
26.0,4,121.0,113.0,2234,12.5,1970,europe
21.0,6,199.0,90.0,2648,15.0,1970,usa
10.0,8,360.0,215.0,4615,14.0,1970,usa
10.0,8,307.0,200.0,4376,15.0,1970,usa
11.0,8,318.0,210.0,4382,13.5,1970,usa
9.0,8,304.0,193.0,4732,18.5,1970,usa
27.0,4,97.0,88.0,2130,14.5,1971,japan
28.0,4,140.0,90.0,2264,15.5,1971,usa
25.0,4,113.0,95.0,2228,14.0,1971,japan
19.0,6,232.0,100.0,2634,13.0,1971,usa
16.0,6,225.0,105.0,3439,15.5,1971,usa
17.0,6,250.0,100.0,3329,15.5,1971,usa
19.0,6,250.0,88.0,3302,15.5,1971,usa
18.0,6,232.0,100.0,3288,15.5,1971,usa
14.0,8,350.0,165.0,4209,12.0,1971,usa
14.0,8,400.0,175.0,4464,11.5,1971,usa
14.0,8,351.0,153.0,4154,13.5,1971,usa
14.0,8,318.0,150.0,4096,13.0,1971,usa
12.0,8,383.0,180.0,4955,11.5,1971,usa
13.0,8,400.0,170.0,4746,12.0,1971,usa
13.0,8,400.0,175.0,5140,12.0,1971,usa
18.0,6,258.0,110.0,2962,13.5,1971,usa
22.0,4,140.0,72.0,2408,19.0,1971,usa
19.0,6,250.0,100.0,3282,15.0,1971,usa
18.0,6,250.0,88.0,3139,14.5,1971,usa
23.0,4,122.0,86.0,2220,14.0,1971,usa
28.0,4,116.0,90.0,2123,14.0,1971,europe
30.0,4,79.0,70.0,2074,19.5,1971,europe
30.0,4,88.0,76.0,2065,14.5,1971,europe
31.0,4,71.0,65.0,1773,19.0,1971,japan
35.0,4,72.0,69.0,1613,18.0,1971,japan
27.0,4,97.0,60.0,1834,19.0,1971,europe
26.0,4,91.0,70.0,1955,20.5,1971,usa
24.0,4,113.0,95.0,2278,15.5,1972,japan
25.0,4,97.5,80.0,2126,17.0,1972,usa
23.0,4,97.0,54.0,2254,23.5,1972,europe
20.0,4,140.0,90.0,2408,19.5,1972,usa
21.0,4,122.0,86.0,2226,16.5,1972,usa
13.0,8,350.0,165.0,4274,12.0,1972,usa
14.0,8,400.0,175.0,4385,12.0,1972,usa
15.0,8,318.0,150.0,4135,13.5,1972,usa
14.0,8,351.0,153.0,4129,13.0,1972,usa
17.0,8,304.0,150.0,3672,11.5,1972,usa
11.0,8,429.0,208.0,4633,11.0,1972,usa
13.0,8,350.0,155.0,4502,13.5,1972,usa
