mpg,cylinders,horsepower,weight,age,origin_japan,origin_usa
18.0,8,130.0,3504,54,0,1
15.0,8,165.0,3693,54,0,1
18.0,8,150.0,3436,54,0,1
16.0,8,150.0,3433,54,0,1
17.0,8,140.0,3449,54,0,1
15.0,8,198.0,4341,54,0,1
14.0,8,220.0,4354,54,0,1
14.0,8,215.0,4312,54,0,1
14.0,8,225.0,4425,54,0,1
15.0,8,190.0,3850,54,0,1
15.0,8,170.0,3563,54,0,1
14.0,8,160.0,3609,54,0,1
15.0,8,150.0,3761,54,0,1
14.0,8,225.0,3086,54,0,1
24.0,4,95.0,2372,54,1,0
22.0,6,95.0,2833,54,0,1
18.0,6,97.0,2774,54,0,1
21.0,6,85.0,2587,54,0,1
27.0,4,88.0,2130,54,1,0
26.0,4,46.0,1835,54,0,0
25.0,4,87.0,2672,54,0,0
24.0,4,90.0,2430,54,0,0
25.0,4,95.0,2375,54,0,0
26.0,4,113.0,2234,54,0,0
21.0,6,90.0,2648,54,0,1
10.0,8,215.0,4615,54,0,1
10.0,8,200.0,4376,54,0,1
11.0,8,210.0,4382,54,0,1
9.0,8,193.0,4732,54,0,1
27.0,4,88.0,2130,53,1,0
28.0,4,90.0,2264,53,0,1
25.0,4,95.0,2228,53,1,0
19.0,6,100.0,2634,53,0,1
16.0,6,105.0,3439,53,0,1
17.0,6,100.0,3329,53,0,1
19.0,6,88.0,3302,53,0,1
18.0,6,100.0,3288,53,0,1
14.0,8,165.0,4209,53,0,1
14.0,8,175.0,4464,53,0,1
14.0,8,153.0,4154,53,0,1
14.0,8,150.0,4096,53,0,1
12.0,8,180.0,4955,53,0,1
13.0,8,170.0,4746,53,0,1
13.0,8,175.0,5140,53,0,1
18.0,6,110.0,2962,53,0,1
22.0,4,72.0,2408,53,0,1
19.0,6,100.0,3282,53,0,1
18.0,6,88.0,3139,53,0,1
23.0,4,86.0,2220,53,0,1
28.0,4,90.0,2123,53,0,0
30.0,4,70.0,2074,53,0,0
30.0,4,76.0,2065,53,0,0
31.0,4,65.0,1773,53,1,0
35.0,4,69.0,1613,53,1,0
27.0,4,60.0,1834,53,0,0
26.0,4,70.0,1955,53,0,1
24.0,4,95.0,2278,52,1,0
25.0,4,80.0,2126,52,0,1
23.0,4,54.0,2254,52,0,0
20.0,4,90.0,2408,52,0,1
21.0,4,86.0,2226,52,0,1
13.0,8,165.0,4274,52,0,1
14.0,8,175.0,4385,52,0,1
15.0,8,150.0,4135,52,0,1
14.0,8,153.0,4129,52,0,1
17.0,8,150.0,3672,52,0,1
11.0,8,208.0,4633,52,0,1
13.0,8,155.0,4502,52,0,1
12.0,8,160.0,4456,52,0,1
13.0,8,190.0,4422,52,0,1
19.0,3,97.0,2330,52,1,0
15.0,8,150.0,3892,52,0,1
13.0,8,130.0,4098,52,0,1
13.0,8,140.0,4294,52,0,1
14.0,8,150.0,4077,52,0,1
18.0,4,112.0,2933,52,0,0
22.0,4,76.0,2511,52,0,0
21.0,4,87.0,2979,52,0,0
26.0,4,69.0,2189,52,0,0
22.0,4,86.0,2395,52,0,1
28.0,4,92.0,2288,52,1,0
23.0,4,97.0,2506,52,1,0
28.0,4,80.0,2164,52,0,1
27.0,4,88.0,2100,52,1,0
13.0,8,175.0,4100,51,0,1
14.0,8,150.0,3672,51,0,1
13.0,8,145.0,3988,51,0,1
14.0,8,137.0,4042,51,0,1
15.0,8,150.0,3777,51,0,1
12.0,8,198.0,4952,51,0,1
13.0,8,150.0,4464,51,0,1
13.0,8,158.0,4363,51,0,1
14.0,8,150.0,4237,51,0,1
13.0,8,215.0,4735,51,0,1
12.0,8,225.0,4951,51,0,1
13.0,8,175.0,3821,51,0,1
18.0,6,105.0,3121,51,0,1
16.0,6,100.0,3278,51,0,1
18.0,6,100.0,2945,51,0,1
18.0,6,88.0,3021,51,0,1
23.0,6,95.0,2904,51,0,1
26.0,4,46.0,1950,51,0,0
11.0,8,150.0,4997,51,0,1
12.0,8,167.0,4906,51,0,1
13.0,8,170.0,4654,51,0,1
12.0,8,180.0,4499,51,0,1
18.0,6,100.0,2789,51,0,1
20.0,4,88.0,2279,51,1,0
21.0,4,72.0,2401,51,0,1
22.0,4,94.0,2379,51,1,0
18.0,3,90.0,2124,51,1,0
19.0,4,85.0,2310,51,0,1
21.0,6,107.0,2472,51,0,1
26.0,4,90.0,2265,51,0,0
15.0,8,145.0,4082,51,0,1
16.0,8,230.0,4278,51,0,1
29.0,4,49.0,1867,51,0,0
24.0,4,75.0,2158,51,0,0
20.0,4,91.0,2582,51,0,0
19.0,4,112.0,2868,51,0,0
15.0,8,150.0,3399,51,0,1
24.0,4,110.0,2660,51,0,0
20.0,6,122.0,2807,51,1,0
11.0,8,180.0,3664,51,0,1
20.0,6,95.0,3102,50,0,1
19.0,6,100.0,2901,50,0,1
15.0,6,100.0,3336,50,0,1
31.0,4,67.0,1950,50,1,0
26.0,4,80.0,2451,50,0,1
32.0,4,65.0,1836,50,1,0
25.0,4,75.0,2542,50,0,1
16.0,6,100.0,3781,50,0,1
16.0,6,110.0,3632,50,0,1
18.0,6,105.0,3613,50,0,1
16.0,8,140.0,4141,50,0,1
13.0,8,150.0,4699,50,0,1
14.0,8,150.0,4457,50,0,1
14.0,8,140.0,4638,50,0,1
14.0,8,150.0,4257,50,0,1
29.0,4,83.0,2219,50,0,0
26.0,4,67.0,1963,50,0,0
26.0,4,78.0,2300,50,0,0
31.0,4,52.0,1649,50,1,0
32.0,4,61.0,2003,50,1,0
28.0,4,75.0,2125,50,0,1
24.0,4,75.0,2108,50,0,0
26.0,4,75.0,2246,50,0,0
24.0,4,97.0,2489,50,1,0
26.0,4,93.0,2391,50,1,0
31.0,4,67.0,2000,50,0,0
19.0,6,95.0,3264,49,0,1
18.0,6,105.0,3459,49,0,1
15.0,6,72.0,3432,49,0,1
15.0,6,72.0,3158,49,0,1
16.0,8,170.0,4668,49,0,1
15.0,8,145.0,4440,49,0,1
16.0,8,150.0,4498,49,0,1
14.0,8,148.0,4657,49,0,1
17.0,6,110.0,3907,49,0,1
16.0,6,105.0,3897,49,0,1
15.0,6,110.0,3730,49,0,1
18.0,6,95.0,3785,49,0,1
21.0,6,110.0,3039,49,0,1
20.0,8,110.0,3221,49,0,1
13.0,8,129.0,3169,49,0,1
29.0,4,75.0,2171,49,1,0
23.0,4,83.0,2639,49,0,1
20.0,6,100.0,2914,49,0,1
23.0,4,78.0,2592,49,0,1
24.0,4,96.0,2702,49,1,0
25.0,4,71.0,2223,49,0,0
24.0,4,97.0,2545,49,1,0
18.0,6,97.0,2984,49,0,1
29.0,4,70.0,1937,49,0,0
19.0,6,90.0,3211,49,0,1
23.0,4,95.0,2694,49,0,0
23.0,4,88.0,2957,49,0,0
22.0,4,98.0,2945,49,0,0
25.0,4,115.0,2671,49,0,0
33.0,4,53.0,1795,49,1,0
28.0,4,86.0,2464,48,0,0
25.0,4,81.0,2220,48,0,0
25.0,4,92.0,2572,48,0,1
26.0,4,79.0,2255,48,0,1
27.0,4,83.0,2202,48,0,0
17.5,8,140.0,4215,48,0,1
16.0,8,150.0,4190,48,0,1
15.5,8,120.0,3962,48,0,1
14.5,8,152.0,4215,48,0,1
22.0,6,100.0,3233,48,0,1
22.0,6,105.0,3353,48,0,1
24.0,6,81.0,3012,48,0,1
22.5,6,90.0,3085,48,0,1
29.0,4,52.0,2035,48,0,1
24.5,4,60.0,2164,48,0,1
29.0,4,70.0,1937,48,0,0
33.0,4,53.0,1795,48,1,0
20.0,6,100.0,3651,48,0,1
18.0,6,78.0,3574,48,0,1
18.5,6,110.0,3645,48,0,1
17.5,6,95.0,3193,48,0,1
29.5,4,71.0,1825,48,0,0
32.0,4,70.0,1990,48,1,0
28.0,4,75.0,2155,48,1,0
26.5,4,72.0,2565,48,0,1
20.0,4,102.0,3150,48,0,0
13.0,8,150.0,3940,48,0,1
19.0,4,88.0,3270,48,0,0
19.0,6,108.0,2930,48,1,0
16.5,6,120.0,3820,48,0,0
16.5,8,180.0,4380,48,0,1
13.0,8,145.0,4055,48,0,1
13.0,8,130.0,3870,48,0,1
13.0,8,150.0,3755,48,0,1
31.5,4,68.0,2045,47,1,0
30.0,4,80.0,2155,47,0,1
36.0,4,58.0,1825,47,0,0
25.5,4,96.0,2300,47,0,1
33.5,4,70.0,1945,47,1,0
17.5,8,145.0,3880,47,0,1
17.0,8,110.0,4060,47,0,1
15.5,8,145.0,4140,47,0,1
15.0,8,130.0,4295,47,0,1
17.5,6,110.0,3520,47,0,1
20.5,6,105.0,3425,47,0,1
19.0,6,100.0,3630,47,0,1
18.5,6,98.0,3525,47,0,1
16.0,8,180.0,4220,47,0,1
15.5,8,170.0,4165,47,0,1
15.5,8,190.0,4325,47,0,1
16.0,8,149.0,4335,47,0,1
29.0,4,78.0,1940,47,0,0
24.5,4,88.0,2740,47,0,1
26.0,4,75.0,2265,47,1,0
25.5,4,89.0,2755,47,0,1
30.5,4,63.0,2051,47,0,1
33.5,4,83.0,2075,47,0,1
30.0,4,67.0,1985,47,1,0
30.5,4,78.0,2190,47,0,0
22.0,6,97.0,2815,47,1,0
21.5,4,110.0,2600,47,0,0
21.5,3,110.0,2720,47,1,0
43.1,4,48.0,1985,46,0,0
36.1,4,66.0,1800,46,0,1
32.8,4,52.0,1985,46,1,0
39.4,4,70.0,2070,46,1,0
36.1,4,60.0,1800,46,1,0
19.9,8,110.0,3365,46,0,1
19.4,8,140.0,3735,46,0,1
20.2,8,139.0,3570,46,0,1
19.2,6,105.0,3535,46,0,1
20.5,6,95.0,3155,46,0,1
20.2,6,85.0,2965,46,0,1
25.1,4,88.0,2720,46,0,1
20.5,6,100.0,3430,46,0,1
19.4,6,90.0,3210,46,0,1
20.6,6,105.0,3380,46,0,1
20.8,6,85.0,3070,46,0,1
18.6,6,110.0,3620,46,0,1
18.1,6,120.0,3410,46,0,1
19.2,8,145.0,3425,46,0,1
17.7,6,165.0,3445,46,0,1
18.1,8,139.0,3205,46,0,1
17.5,8,140.0,4080,46,0,1
30.0,4,68.0,2155,46,0,1
27.5,4,95.0,2560,46,1,0
27.2,4,97.0,2300,46,1,0
30.9,4,75.0,2230,46,0,1
21.1,4,95.0,2515,46,1,0
23.2,4,105.0,2745,46,0,1
23.8,4,85.0,2855,46,0,1
23.9,4,97.0,2405,46,1,0
20.3,5,103.0,2830,46,0,0
17.0,6,125.0,3140,46,0,0
21.6,4,115.0,2795,46,0,0
16.2,6,133.0,3410,46,0,0
31.5,4,71.0,1990,46,0,0
29.5,4,68.0,2135,46,1,0
21.5,6,115.0,3245,45,0,1
19.8,6,85.0,2990,45,0,1
22.3,4,88.0,2890,45,0,1
20.2,6,90.0,3265,45,0,1
20.6,6,110.0,3360,45,0,1
17.0,8,130.0,3840,45,0,1
17.6,8,129.0,3725,45,0,1
16.5,8,138.0,3955,45,0,1
18.2,8,135.0,3830,45,0,1
16.9,8,155.0,4360,45,0,1
15.5,8,142.0,4054,45,0,1
19.2,8,125.0,3605,45,0,1
18.5,8,150.0,3940,45,0,1
31.9,4,71.0,1925,45,0,0
34.1,4,65.0,1975,45,1,0
35.7,4,80.0,1915,45,0,1
27.4,4,80.0,2670,45,0,1
25.4,5,77.0,3530,45,0,0
23.0,8,125.0,3900,45,0,1
27.2,4,71.0,3190,45,0,0
23.9,8,90.0,3420,45,0,1
34.2,4,70.0,2200,45,0,1
34.5,4,70.0,2150,45,0,1
31.8,4,65.0,2020,45,1,0
37.3,4,69.0,2130,45,0,0
28.4,4,90.0,2670,45,0,1
28.8,6,115.0,2595,45,0,1
26.8,6,115.0,2700,45,0,1
33.5,4,90.0,2556,45,0,1
41.5,4,76.0,2144,44,0,0
38.1,4,60.0,1968,44,1,0
32.1,4,70.0,2120,44,0,1
37.2,4,65.0,2019,44,1,0
28.0,4,90.0,2678,44,0,1
26.4,4,88.0,2870,44,0,1
24.3,4,90.0,3003,44,0,1
19.1,6,90.0,3381,44,0,1
34.3,4,78.0,2188,44,0,0
29.8,4,90.0,2711,44,1,0
31.3,4,75.0,2542,44,1,0
37.0,4,92.0,2434,44,1,0
32.2,4,75.0,2265,44,1,0
46.6,4,65.0,2110,44,1,0
27.9,4,105.0,2800,44,0,1
40.8,4,65.0,2110,44,1,0
44.3,4,48.0,2085,44,0,0
43.4,4,48.0,2335,44,0,0
36.4,5,67.0,2950,44,0,0
30.0,4,67.0,3250,44,0,0
44.6,4,67.0,1850,44,1,0
33.8,4,67.0,2145,44,1,0
29.8,4,62.0,1845,44,0,0
32.7,6,132.0,2910,44,1,0
23.7,3,100.0,2420,44,1,0
35.0,4,88.0,2500,44,0,0
32.4,4,72.0,2290,44,1,0
27.2,4,84.0,2490,43,0,1
26.6,4,84.0,2635,43,0,1
25.8,4,92.0,2620,43,0,1
23.5,6,110.0,2725,43,0,1
30.0,4,84.0,2385,43,0,1
39.1,4,58.0,1755,43,1,0
39.0,4,64.0,1875,43,0,1
35.1,4,60.0,1760,43,1,0
32.3,4,67.0,2065,43,1,0
37.0,4,65.0,1975,43,1,0
37.7,4,62.0,2050,43,1,0
34.1,4,68.0,1985,43,1,0
34.7,4,63.0,2215,43,0,1
34.4,4,65.0,2045,43,0,1
29.9,4,65.0,2380,43,0,1
33.0,4,74.0,2190,43,0,0
33.7,4,75.0,2210,43,1,0
32.4,4,75.0,2350,43,1,0
32.9,4,100.0,2615,43,1,0
31.6,4,74.0,2635,43,1,0
28.1,4,80.0,3230,43,0,0
30.7,6,76.0,3160,43,0,0
25.4,6,116.0,2900,43,1,0
24.2,6,120.0,2930,43,1,0
22.4,6,110.0,3415,43,0,1
26.6,8,105.0,3725,43,0,1
20.2,6,88.0,3060,43,0,1
17.6,6,85.0,3465,43,0,1
28.0,4,88.0,2605,42,0,1
27.0,4,88.0,2640,42,0,1
34.0,4,88.0,2395,42,0,1
31.0,4,85.0,2575,42,0,1
